Package                    Version     Latest     Type
-------------------------- ----------- ---------- -----
absl-py                    0.14.1      0.15.0     wheel
aiobotocore                1.4.1       2.0.0      sdist
aiohttp                    3.7.4.post0 3.8.0      wheel
alembic                    1.4.1       1.7.4      wheel
antlr4-python3-runtime     4.8         4.9.3      sdist
anyio                      3.3.3       3.3.4      wheel
arrow                      1.2.0       1.2.1      wheel
astroid                    2.8.2       2.8.4      wheel
async-timeout              3.0.1       4.0.0      wheel
autopep8                   1.5.5       1.6.0      wheel
azure-core                 1.19.0      1.20.0     wheel
blis                       0.7.4       0.7.5      wheel
bokeh                      2.4.0       2.4.1      wheel
boto3                      1.18.58     1.19.12    wheel
botocore                   1.21.58     1.22.12    wheel
cffi                       1.14.6      1.15.0     wheel
charset-normalizer         2.0.0       2.0.7      wheel
clang                      5.0         11.0       wheel
click                      7.1.2       8.0.3      wheel
configparser               5.0.2       5.1.0      wheel
coverage                   6.0.1       6.1.1      wheel
cryptography               3.4.8       35.0.0     wheel
cycler                     0.10.0      0.11.0     wheel
cymem                      2.0.5       2.0.6      wheel
cytoolz                    0.11.0      0.11.2     sdist
daal4py                    2021.3.0    2021.4.0   wheel
dask                       2021.9.1    2021.11.0  wheel
dask-ml                    1.9.0       2021.10.17 wheel
dask-sql                   0.3.9       0.4.0      wheel
databricks-cli             0.15.0      0.16.2     sdist
debugpy                    1.4.1       1.5.1      wheel
decorator                  4.4.2       5.1.0      wheel
distributed                2021.9.1    2021.11.0  wheel
docutils                   0.17.1      0.18       wheel
dulwich                    0.20.25     0.20.26    wheel
dvc                        2.8.1       2.8.2      wheel
et-xmlfile                 1.0.1       1.1.0      wheel
fastai                     2.5.2       2.5.3      wheel
fastcore                   1.3.26      1.3.27     wheel
filelock                   3.3.0       3.3.2      wheel
flake8                     3.8.4       4.0.1      wheel
Flask                      1.1.2       2.0.2      wheel
flatbuffers                1.12        2.0        wheel
flufl.lock                 3.2         6.0        sdist
fsspec                     2021.10.0   2021.11.0  wheel
